FirstName,LastName,Position,District,Party,City,MadisonOffice,Telephones,Fax,DistrictPhone,Email,VotingAddress,Staff,Committees,Biography
Scott,Allen,,97,R,Waukesha,"Room 8 West\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-8580, (888) 534-0097",(608) 282-3697,,Rep.Allen,"S42 W25312 Dale Dr.\nWaukesha, WI 53189",Dan Hubert,Committee on Environment and Forestry\nCommittee on Housing and Real Estate (Vice-Chair)\nCommittee on Jobs and the Economy\nCommittee on Small Business Development\nCommittee on Veterans and Military Affairs\nSpeaker's Task Force on Urban Education,"Born Racine, December 18, 1965; married; 2 children.  Graduate Kettle Moraine H.S. 1984; attended UW-Oshkosh, UW-Waukesha; B.A. UW-Milwaukee 1989; Master of Public Administration and Master of Planning U. of Southern California 1992.  Realtor and sales coach.  Former sales director, home builder, and risk management analyst.  Served in U.S. Army Reserve 1984-90.  Member: Greater Milwaukee Assoc. of Realtors (fmr. bd. mbr.); Wis. Realtors Assn.; National Assn. of Realtors; Republican Party of Waukesha Co.; Spring Creek Church.  Former member: Waukesha Civic Theatre (pres.).  Waukesha Co. Community Development Block Grant Bd. 2010-14.  Alderman, City of Waukesha 1998-2001.  \nElected to Assembly 2014.",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1362,http://legis.wisconsin.gov/assembly/97/allen
Tyler,August,Speaker Pro Tempore,32,R,Lake Geneva,"Room 119 West\nState Capitol\nP.O. Box 8952\nMadison, WI 53708",(608) 266-1190,(608) 282-3632,,Rep.August,"PO Box 572\nDelavan, WI 53115","Luke Bacher, Brian Radday, Jason Rostan",Committee on Assembly Organization\nCommittee on Insurance\nCommittee on Rules\nJoint Legislative Council\nJoint Survey Committee on Tax Exemptions (Co-Chair)\nLaw Revision Committee,"Born Wisconsin, January 26, 1983; single.  Graduate Big Foot H.S. 2001; attended UW-Eau Claire and UW-Madison; completed 2012 Emerging Leader Program at Univ. of Virginia Darden School of Business.  Full-time legislator.  Former chief of staff to Rep. Thomas Lothian.  Member: Republican Party of Wis. (fmr. bd. mbr.); Republican Party of 1st Congressional Dist. (fmr. chm.); Republican Party of Walworth Co. (fmr. chm, vice-chm.); National Rifle Association.  Recipient: American Conservative Union Defender of Liberty 2012; GOPAC Emerging Leader 2012.\nElected to Assembly 2010; reelected since 2012.  Speaker Pro Tempore 2015.",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1265,http://legis.wisconsin.gov/assembly/august/
Joan,Ballweg,,41,R,Markesan,"Room 210 North\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-8077, (888) 534-0041",(608) 282-3641,,Rep.Ballweg,"170 W. Summit St.\nMarkesan, WI 53946",Bethany Anderson,Committee for Review of Administrative Rules (Chair)\nCommittee on Colleges and Universities\nCommittee on Financial Institutions\nCommittee on Mental Health Reform\nCommittee on Rules\nCommittee on Tourism\nJoint Committee for Review of Administrative Rules (Co-Chair)\nJoint Legislative Council (Co-Chair)\nLegislative Council Study Committee on Access to Civil Legal Services\nSpeaker's Task Force on Youth Workforce Readiness,"Born Milwaukee, March 16, 1952; married; 3 children, 1 grandson.  Graduate Nathan Hale H.S. (West Allis) 1970; attended UW-Waukesha; B.A. Elementary Education UW-Stevens Point 1974.  Co-owner of farm equipment business.  Former 1st grade teacher.  Member: Markesan Chamber of Commerce (former treas.); Waupun Chamber of Commerce; Green Lake County Farm Bureau; Waupun Memorial Hospital (bd. of dir., fmr. chp.); Agnesian HealthCare Enterprises, LLC management com. (fmr. secy.); volunteer, Markesan District Schools; Markesan PTA (fmr. pres.); Markesan AFS Chapter (hosting coordinator, pres., fmr. host family, liaison). Former member: FEMA V Regional Advisory Council. Recipient: Markesan District Education Assn. Friend of Education Award 1990.  Markesan City Council 1987-91; Mayor of Markesan 1991-97.\nElected to Assembly since 2004.  Majority Caucus Chairperson 2013, 2011.  Member of Child Abuse and Neglect Prevention Board and Midwestern Higher Education Commission",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1274,http://legis.wisconsin.gov/assembly/ballweg/
Peter,Barca,Minority Leader,64,D,Kenosha,"Room 201 West\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-5504, (888) 534-0064",(608) 282-3664,,Rep.Barca,"1339 38th Ave.\nKenosha, WI 53144","Matt Egerer, Andrew Farrar, Colleen Flaherty, Cathy Friedl, Nicole Pegram, Brian Vigue",Committee on Assembly Organization\nCommittee on Employment Relations\nCommittee on Rules\nJoint Committee on Employment Relations\nJoint Committee on Information Policy and Technology\nJoint Committee on Legislative Organization\nJoint Legislative Council,"Born Kenosha, August 7, 1955; married; 2 children.  Graduate Mary D. Bradford H.S. 1973; B.S. UW-Milwaukee 1977; attended Harvard U.; M.A. UW-Madison 1983.  Past president, Aurora Assoc. International.  Former CEO, Northpointe Resources; National Ombudsman and Midwest Regional Administrator, U.S. Small Bus. Admin.  Member: Foundation Bd. of Dir., UW-Parkside; Internatl. Society for ISCTR (co-founder, secy./pres.); WIS-ITALIA (past pres.).  Former member: Com. to Found the Boys and Girls Club of Kenosha (chp.); Lake County Partnership on Econ. Dev. (exec. com.) and Econ. Dev. Com. on Small Business (chp.); Small Business Forum of DNC (nat'l co-chair); Kenosha Family and Aging Ser. (bd. mbr.); Kenosha Incubator Assn. (chm.); Partnership for a Stronger Economy.\nElected to Assembly 1984-1992 (resigned 6/8/93 upon election to U.S. Congress); reelected since 2008.  Minority Leader 2015, 2013, 2011; Majority Caucus Chairperson 2009, 1993, 1991.  Member of Wisconsin Economic Development Corporation",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1297,http://legis.wisconsin.gov/assembly/barca/
Terese,Berceau,,77,D,Madison,"Room 104 North\nState Capitol\nP.O. Box 8952\nMadison, WI 53708",(608) 266-3784,(608) 282-3677,,Rep.Berceau,"4326 Somerset Lane\nMadison, WI 53711","Kelley Flury;Kelley.Flury2, Traci Peloquin;traci.peloquin2",Committee on Audit\nCommittee on Campaigns and Elections\nCommittee on Colleges and Universities\nCommittee on Insurance\nJoint Legislative Audit Committee,"Born Green Bay, August 23, 1950.  B.S. UW-Madison 1973; graduate studies in Urban and Regional planning UW-Madison.  Staff, UW-Madison Robert M. La Follette School; staff, Wis. Counties Assn.; real estate sales; substitute teacher.  Member: Dane Co. Dem. Party; Planned Parenthood Advocates of Wisconsin; League of Conservation Voters.  Former member: Monona Terrace Community and Convention Center Bd.; Greater Madison Convention and Visitors Bureau Bd.; Gov.'s Coun. on Domestic Abuse.  Recipient: Wis. Coalition Against Domestic Violence Legislative Champion Award 2010; Wis. Women's Network Stateswoman of the Year 2006; Wis. League of Conservation Voters Award 2002-2010; Wis. Council of the Blind Legislator of the Year 2005; Wis. Coalition Against Sexual Assault Voices of Courage Award 2005; Wis. Alliance of Cities Urban Families Recognition 2004; Domestic Abuse Intervention Services Certificate of Recognition 2004; Wis. Coalition Against Domestic Violence ""DV Diva"" Award 2003; Domestic Abuse Intervention Service Public Service Award 2002; National Alliance for the Mentally Ill - Dane County Community Action Citizen Award 2003.  City of Madison Community Development Authority (chp. 1989-92); Dane Co. Bd. of Supervisors 1992-2000.\nElected to Assembly since 1998.",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1310,http://legis.wisconsin.gov/assembly/berceau/
Kathleen,Bernier,,68,R,Chippewa Falls,"Room 314 North\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-9172, (888) 534-0068",(608) 282-3668,,Rep.Bernier,"10923 40th Ave.\nChippewa Falls, WI 54729","Linda Palmer, Chad Zuleger",Committee on Aging and Long-Term Care\nCommittee on Agriculture\nCommittee on Campaigns and Elections (Chair)\nCommittee on Family Law (Vice-Chair)\nCommittee on Mining and Rural Development\nCommittee on Workforce Development\nSpeaker's Task Force on Alzheimer's and Dementia,"Born Eau Claire, April 29, 1956; 3 children, 6 grandchildren.  Graduate Chippewa Falls Senior H.S. 1974; B.A. UW-Eau Claire; certificate in public management essentials, UW-Green Bay 2005.  Member: American Legislative Exchange Council; Chippewa Falls Chamber of Commerce; Lake Hallie Optimists Club; Wis. Women in Government; National Foundation for Women Legislators (state chp.).  Former member: Wis. County Clerks Assn. (legis. chair, fmr. treas.); Wis. County Constitutional Officers; Chippewa County Humane Assn.; Kiwanis Noon Club; National Conference of State Legislatures, Elections and Redistricting Com. (vice chp).  Village of Lake Hallie trustee 2007-present.  Chippewa County Clerk 1999-2011.\nElected to Assembly 2010; reelected since 2012.",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1301,http://legis.wisconsin.gov/assembly/bernier/
Jill,Billings,,95,D,LaCrosse,"Room 307 West\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-5780, (888) 534-0095",(608) 282-3695,,Rep.Billings,"1403 Johnson St.\nLaCrosse, WI 54601","Kathy Divine, Adelina Yankova",Committee on Children and Families\nCommittee on Colleges and Universities\nCommittee on Interstate Affairs (Vice-Chair)\nCommittee on Mining and Rural Development\nCommittee on Tourism\nLegislative Council Study Committee on Reducing Recidivism and Removing Impediments to Ex-Offender Employment\nSpeaker's Task Force on Urban Education,"Born Rochester, MN, January 19, 1962; 2 children.  Graduate Stewartville H.S. 1980; B.A. Augsburg College, Minneapolis, MN 1989.  Council of State Governments: BILLD Fellow 2012, Toll Fellow 2014.  Full-time legislator.  Former teacher of English and Citizenship to Hmong adults.  Member: Women in Government; Children's Trust Fund; Viterbo University Board of Advisors; UW-La Crosse Chancellor's Community Council; La Crosse County League of Women Voters; La Crosse County Democratic Party.  Former member: Wisconsin Counties Association County Ambassador Program; La Crosse Area Family Policy Board; Stepping Stones Children's Advocacy Center; La Crosse County Economic Development Fund; La Crosse Community Foundation Granting Advisory Board.  La Crosse County Board 2004-12.\nElected to the Assembly in November 2011 special election; reelected since 2012.Member of Tourism, Council on",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1328,http://legis.wisconsin.gov/assembly/95/billings
Mark,Born,,39,R,Beaver Dam,"Room 312 North\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-2540, (888) 534-0039",(608) 282-3639,,Rep.Born,"121 Franklin St.\nBeaver Dam, WI 53916","John Cronin, James Fenley",Committee on Criminal Justice and Public Safety\nCommittee on Financial Institutions\nCommittee on Insurance\nCommittee on Natural Resources and Sporting Heritage\nCommittee on Public Benefit Reform (Chair)\nCommittee on Rules\nCommittee on Tourism,"Born Beaver Dam, April 14, 1976; married; 1 child.  Graduate Beaver Dam H.S. 1994; B.A. political science and history, Gustavus Adolphus College (St. Peter, MN) 1998.  Full-time legislator.  Former corrections supervisor, Dodge Co. Sheriff Dept.  Member: Downtown Beaver Dam, Inc.; Friends of Horicon Marsh; Beaver Dam Area Arts Assn.; Dodge Co. Historical Society (vice pres.); Leadership Beaver Dam Steering Com.; Beaver Dam Lake Improvement Assn. (fmr. vice pres.); Republican Party of Dodge Co. (fmr. chm.); Beaver Dam Elks Lodge 1540; St. John's Lutheran Church, Beaver Dam.  Beaver Dam Fire and Police Commission 1993-95; Beaver Dam City Council 1995-99.\nElected to Assembly 2012; reelected 2014.  Member of Building Commission and State Capitol and Executive Residence Board",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1272,http://legis.wisconsin.gov/assembly/born
David,Bowen,,10,D,Milwaukee,"Room 3 North\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 266-7671, (888) 534-0010",(608) 282-3610,,Rep.Bowen,"4080 N. 21st St. #3\nMilwaukee, WI 53209",Jon Knudson,Committee on Corrections\nCommittee on Small Business Development\nCommittee on Transportation\nCommittee on Workforce Development\nLegislative Council Study Committee on School Data\nSpeaker's Task Force on Urban Education,"Born Milwaukee, January 28, 1987; single.  Graduate Bradley Tech H.S. 2005; B.A. UW-Milwaukee.  Full-time legislator.  Former program director.  Member: Milw. Co. Juvenile Detention Alternative Initiative Advisory Com.; Beyond the Bell Milwaukee (steering com.); Black Youth Project-100; Democratic Party of Wisconsin.  Former member: American Legacy Foundation Activism Fellow.  Milwaukee Co. Bd. of Supervisors 2012-14.\nElected to Assembly 2014.",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1342,http://legis.wisconsin.gov/assembly/10/bowen
Janel,Brandtjen,,22,R,Menomonee Falls,"Room 221 North\nState Capitol\nP.O. Box 8952\nMadison, WI 53708","(608) 267-2367, (888) 534-0022",(608) 282-3622,,Rep.Brandtjen,"N52 W16632 Oak Ridge Trail\nMenomonee Falls, WI 53051",Bill Savage,Committee on Children and Families\nCommittee on Corrections (Vice-Chair)\nCommittee on Public Benefit Reform\nCommittee on State Affairs and Government Operations\nCommittee on Workforce Development,"Born Milwaukee, March 1966; married; 2 children.  Graduate Marshall H.S.; B.B.A. Finance and Marketing, UW-Milwaukee 1988.  Business owner.  Member: Republican Party of Waukesha Co.; Republican Party of Washington Co.; Republican Women of Waukesha Co.; Washington Co. Republican Women; National Rifle Association; Immanuel Lutheran Church; Menomonee Falls Chamber of Commerce.  Waukesha Co. Supervisor 2008-present.\nElected to Assembly 2014",http://docs.legis.wisconsin.gov/2015/legislators/assembly/1344,http://legis.wisconsin.gov/assembly/22/brandtjen
