CommitteeName|CommitteeType|Link|Header|Chair|CoChair|ViceChair|CommitteeClerk|LegislativeCouncilStaff|Members|OtherMembers|Hearings
Senate Committee on Administrative Rules|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1491|2015 Senate Committee on Administrative Rules|Senator Nass||Senator Lasee; Senator Lasee|Adam Field||Senator LeMahieu; Senator Miller; Senator Harris Dodd||2/17/2016 10:00 AM - Executive Session
Senate Committee on Education Reform (Disbanded 8-28-15)|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1480|2015 Senate Committee on Education Reform (Disbanded 8-28-15)|||Senator Harsdorf; Senator Harsdorf||Katie Bender-Olson; Jessica Ozalp|Senator Nass; Senator Harris Dodd; Senator Vinehout||7/15/2015 11:15 AM - Executive Session (Revised); 6/17/2015 11:00 AM - Public Hearing ; 5/28/2015 3:00 PM - Executive Session ; 5/7/2015 12:00 PM - Public Hearing
Senate Committee on Government Operations and Consumer Protection|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1481|2015 Senate Committee on Government Operations and Consumer Protection|Senator Stroebel||Senator LeMahieu; Senator LeMahieu|John Soper|Dan Schmidt; Scott Grosz|Senator Kapenga; Senator Harris Dodd; Senator Wirch||3/8/2016 10:00 AM - Executive Session ; 3/2/2016 10:30 AM - Public Hearing ; 2/23/2016 10:00 AM - Executive Session ; 2/12/2016 11:00 AM - Executive Session ; 2/10/2016 12:01 PM - Public Hearing ; 2/10/2016 12:00 PM - Executive Session ; 2/4/2016 10:01 AM - Public Hearing ; 2/4/2016 10:00 AM - Executive Session ; 1/19/2016 11:01 AM - Public Hearing ; 1/19/2016 11:00 AM - Executive Session (Revised); 12/17/2015 12:31 PM - Public Hearing ; 12/17/2015 12:30 PM - Executive Session ; 11/18/2015 10:01 AM - Public Hearing ; 11/18/2015 10:00 AM - Executive Session ; 10/21/2015 2:30 PM - Public Hearing ; 9/10/2015 4:01 PM - Executive Session ; 9/10/2015 4:00 PM - Public Hearing ; 9/8/2015 12:30 PM - Executive Session ; 9/2/2015 1:30 PM - Public Hearing ; 6/3/2015 2:30 PM - Executive Session ; 6/2/2015 1:30 PM - Public Hearing
Senate Committee on Public Benefit and Regulatory Reform|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1486|2015 Senate Committee on Public Benefit and Regulatory Reform|Senator Kapenga||Senator Harsdorf; Senator Harsdorf||Brian Larson; Margit Kelley|Senator Nass; Senator Miller; Senator Harris Dodd||3/2/2016 9:30 AM - Executive Session ; 1/13/2016 12:01 PM - Executive Session (Revised); 1/13/2016 12:00 PM - Public Hearing (Revised); 10/21/2015 1:01 PM - Executive Session ; 10/21/2015 1:00 PM - Public Hearing ; 10/14/2015 1:00 PM - Public Hearing ; 9/10/2015 1:30 PM - Executive Session (Cancelled); 9/8/2015 2:00 PM - Public Hearing
Senate Committee on Revenue, Financial Institutions and Rural Issues|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1379|2015 Senate Committee on Revenue, Financial Institutions and Rural Issues|Senator Marklein||Senator Stroebel; Senator Stroebel|Scott Coenen|Zach Ramirez; Brian Larson|Senator Tiffany; Senator Lassa; Senator Ringhand||3/8/2016 9:01 AM - Executive Session ; 3/8/2016 9:00 AM - Public Hearing ; 2/18/2016 10:31 AM - Public Hearing ; 2/18/2016 10:30 AM - Executive Session ; 2/8/2016 2:01 PM - Executive Session ; 2/8/2016 2:00 PM - Public Hearing ; 1/28/2016 10:01 AM - Executive Session (Revised); 1/28/2016 10:00 AM - Public Hearing ; 1/13/2016 2:01 PM - Executive Session ; 1/13/2016 2:00 PM - Public Hearing ; 12/15/2015 2:01 PM - Executive Session ; 12/15/2015 2:00 PM - Public Hearing ; 10/22/2015 10:01 AM - Executive Session ; 10/22/2015 10:00 AM - Public Hearing ; 9/8/2015 1:01 PM - Executive Session ; 9/8/2015 1:00 PM - Public Hearing ; 9/2/2015 10:00 AM - Public Hearing ; 6/3/2015 10:01 AM - Executive Session ; 6/3/2015 10:00 AM - Public Hearing ; 4/29/2015 10:31 AM - Executive Session ; 4/29/2015 10:30 AM - Public Hearing ; 3/31/2015 1:01 PM - Executive Session ; 3/31/2015 1:00 PM - Public Hearing (Revised); 2/19/2015 12:30 PM - Executive Session ; 2/11/2015 12:30 PM - Public Hearing ; 1/22/2015 11:31 AM - Executive Session ; 1/22/2015 11:30 AM - Public Hearing
Senate Committee on Transportation and Veterans Affairs|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1380|2015 Senate Committee on Transportation and Veterans Affairs|Senator Petrowski||Senator Marklein; Senator Marklein|Derek Punches|Larry Konopacki; David Moore|Senator Cowles; Senator Carpenter; Senator Hansen||3/9/2016 2:00 PM - Executive Session ; 2/17/2016 1:01 PM - Public Hearing ; 2/17/2016 1:00 PM - Executive Session ; 2/4/2016 1:00 PM - Executive Session ; 1/21/2016 10:01 AM - Public Hearing (Revised); 1/21/2016 10:00 AM - Executive Session ; 1/14/2016 10:31 AM - Public Hearing ; 1/14/2016 10:30 AM - Executive Session ; 1/7/2016 11:01 AM - Public Hearing ; 1/7/2016 11:00 AM - Executive Session ; 10/28/2015 10:30 AM - Public Hearing ; 10/13/2015 2:30 PM - Executive Session ; 9/15/2015 2:30 PM - Public Hearing ; 7/8/2015 9:30 AM - Executive Session ; 6/3/2015 9:00 AM - Executive Session ; 5/27/2015 10:31 AM - Executive Session ; 5/27/2015 10:30 AM - Public Hearing ; 4/30/2015 11:01 AM - Executive Session ; 4/30/2015 11:00 AM - Public Hearing ; 4/7/2015 1:31 PM - Public Hearing ; 4/7/2015 1:30 PM - Executive Session ; 3/25/2015 10:00 AM - Public Hearing (Revised); 1/28/2015 1:01 PM - Executive Session ; 1/28/2015 1:00 PM - Public Hearing
Senate Committee on Workforce Development, Public Works, and Military Affairs|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1381|2015 Senate Committee on Workforce Development, Public Works, and Military Affairs|Senator Roth|||Jason Vick|Jessica Ozalp; Larry Konopacki|Senator Stroebel; Senator C. Larson; Senator Lassa||3/8/2016 10:00 AM - Executive Session ; 3/1/2016 1:00 PM - Public Hearing ; 2/4/2016 9:01 AM - Executive Session ; 2/4/2016 9:00 AM - Public Hearing ; 1/28/2016 10:31 AM - Public Hearing (Revised); 1/28/2016 10:30 AM - Executive Session ; 1/5/2016 11:31 AM - Public Hearing ; 1/5/2016 11:30 AM - Executive Session (Revised); 9/8/2015 1:30 PM - Public Hearing ; 4/22/2015 1:00 PM - Public Hearing ; 1/28/2015 10:00 AM - Public Hearing ; 1/21/2015 2:01 PM - Executive Session ; 1/21/2015 2:00 PM - Public Hearing
Senate Committee on Natural Resources and Energy|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1378|2015 Senate Committee on Natural Resources and Energy|Senator Cowles||Senator Lasee; Senator Lasee|Jason Mugnaini|Rachel Letzing; Larry Konopacki|Senator Olsen; Senator Miller; Senator Wirch||2/15/2016 9:00 AM - Executive Session ; 2/11/2016 9:01 AM - Executive Session ; 2/11/2016 9:00 AM - Public Hearing (Revised); 2/3/2016 10:01 AM - Public Hearing ; 2/3/2016 10:00 AM - Executive Session ; 1/19/2016 10:01 AM - Public Hearing ; 1/19/2016 10:00 AM - Executive Session ; 1/13/2016 10:01 AM - Executive Session ; 1/13/2016 10:00 AM - Public Hearing ; 1/5/2016 10:01 AM - Executive Session ; 1/5/2016 10:00 AM - Public Hearing ; 12/2/2015 10:00 AM - Public Hearing ; 10/15/2015 11:01 AM - Executive Session ; 10/15/2015 11:00 AM - Public Hearing ; 10/13/2015 10:00 AM - Public Hearing (Revised); 6/2/2015 11:00 AM - Executive Session ; 5/13/2015 10:01 AM - Executive Session ; 5/13/2015 10:00 AM - Public Hearing (Revised); 4/7/2015 10:01 AM - Executive Session ; 4/7/2015 10:00 AM - Public Hearing ; 2/19/2015 9:31 AM - Public Hearing ; 2/19/2015 9:30 AM - Executive Session (Revised); 2/5/2015 10:00 AM - Public Hearing ; 1/29/2015 11:05 AM - Executive Session ; 1/29/2015 11:00 AM - Public Hearing
Senate Committee on Labor and Government Reform|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1377|2015 Senate Committee on Labor and Government Reform|Senator Nass||Senator Wanggaard; Senator Wanggaard|Mike Mikalsen|Scott Grosz; Mary Matthias|Senator Marklein; Senator Wirch; Senator C. Larson||6/22/2016 1:00 PM - Public Hearing ; 3/9/2016 9:35 AM - Executive Session ; 3/9/2016 9:30 AM - Public Hearing ; 2/12/2016 10:00 AM - Executive Session ; 2/10/2016 9:30 AM - Public Hearing (Revised); 2/4/2016 9:00 AM - Executive Session ; 1/26/2016 10:01 AM - Public Hearing ; 1/26/2016 10:00 AM - Executive Session (Revised); 1/14/2016 9:30 AM - Public Hearing (Revised); 12/10/2015 11:30 AM - Public Hearing ; 10/21/2015 2:35 PM - Executive Session (Revised); 10/21/2015 2:30 PM - Public Hearing ; 10/13/2015 1:35 PM - Executive Session (Revised); 10/13/2015 1:30 PM - Public Hearing (Revised); 10/6/2015 8:30 AM - Public Hearing ; 9/24/2015 10:00 AM - Executive Session ; 9/15/2015 10:00 AM - Public Hearing ; 6/3/2015 1:31 PM - Executive Session ; 6/3/2015 1:30 PM - Public Hearing ; 5/28/2015 10:00 AM - Public Hearing (Revised); 5/7/2015 9:00 AM - Executive Session ; 5/5/2015 8:30 AM - Public Hearing ; 4/30/2015 1:00 PM - Executive Session ; 4/9/2015 9:30 AM - Public Hearing ; 2/24/2015 10:01 AM - Executive Session ; 2/24/2015 10:00 AM - Public Hearing ; 1/21/2015 10:01 AM - Executive Session (Revised); 1/21/2015 10:00 AM - Public Hearing (Revised)
Senate Committee on Judiciary and Public Safety|Senate|http://docs.legis.wisconsin.gov/document/committee/2015/1376|2015 Senate Committee on Judiciary and Public Safety|Senator Wanggaard||Senator Vukmir; Senator Vukmir|Valirie Maxim|David Moore; Michael Queensland|Senator Lasee; Senator Risser; Senator L. Taylor||3/9/2016 12:00 PM - Executive Session ; 3/2/2016 10:00 AM - Public Hearing ; 3/1/2016 10:00 AM - Public Hearing ; 2/15/2016 12:00 PM - Executive Session (Revised); 2/11/2016 10:00 AM - Executive Session (Revised); 2/4/2016 10:01 AM - Public Hearing (Revised); 2/4/2016 10:00 AM - Executive Session ; 2/1/2016 9:01 AM - Public Hearing ; 2/1/2016 9:00 AM - Executive Session (Revised); 1/27/2016 1:01 PM - Public Hearing ; 1/27/2016 1:00 PM - Executive Session (Revised); 1/13/2016 11:01 AM - Public Hearing (Revised); 1/13/2016 11:00 AM - Executive Session (Revised); 1/7/2016 12:30 PM - Public Hearing ; 1/7/2016 10:01 AM - Executive Session ; 1/7/2016 10:00 AM - Public Hearing (Revised); 12/16/2015 10:01 AM - Public Hearing ; 12/16/2015 10:00 AM - Executive Session ; 11/24/2015 10:00 AM - Public Hearing (Revised); 10/28/2015 10:01 AM - Executive Session ; 10/28/2015 10:00 AM - Public Hearing ; 10/22/2015 10:01 AM - Public Hearing ; 10/22/2015 10:00 AM - Executive Session ; 10/1/2015 12:30 PM - Public Hearing ; 9/10/2015 10:30 AM - Executive Session (Revised); 9/10/2015 10:00 AM - Public Hearing ; 9/1/2015 1:30 PM - Public Hearing ; 8/20/2015 10:30 AM - Public Hearing ; 6/24/2015 10:00 AM - Public Hearing (Cancelled); 6/4/2015 10:00 AM - Executive Session (Revised); 6/2/2015 10:00 AM - Public Hearing (Revised); 5/20/2015 12:00 PM - Public Hearing ; 4/28/2015 11:00 AM - Executive Session ; 4/23/2015 10:01 AM - Executive Session ; 4/23/2015 10:00 AM - Public Hearing (Revised); 3/24/2015 1:00 PM - Public Hearing ; 3/12/2015 1:30 PM - Executive Session ; 3/11/2015 10:01 AM - Executive Session ; 3/11/2015 10:00 AM - Public Hearing ; 2/18/2015 1:30 PM - Executive Session (Revised); 2/11/2015 10:01 AM - Executive Session ; 2/11/2015 10:01 AM - Executive Session (Cancelled); 2/11/2015 10:00 AM - Public Hearing ; 2/4/2015 11:05 AM - Executive Session ; 2/4/2015 11:00 AM - Public Hearing ; 1/15/2015 1:01 PM - Executive Session ; 1/15/2015 1:00 PM - Public Hearing
