ID|FirstName|LastName|Position|District|Party|City|MadisonOffice|Telephones|Fax|DistrictPhone|Email|DistrictAddress|VotingAddress|Staff|Committees|Biography|OfficiaWeb|PersonalWeb
http://legis.wisconsin.gov/senate/25/bewley|Janet|Bewley|Assistant Minority Leader|25|D|Ashland|Room 126 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-3510\\n(800) 469-6562|||Sen.Bewley||60995 Pike River Road\\nMason, WI 54856|Geoffrey Gaston;Geoff.Gaston, Joseph Hoey, Eric LaGesse, Lori Youngman|Committee on Economic Development, Commerce and Local Government\\nCommittee on Education\\nCommittee on Insurance, Housing and Trade\\nCommittee on Senate Organization\\nCommittee on Universities and Technical Colleges\\nJoint Committee on Legislative Organization|Born Painesville, OH, November 10, 1951; married; 5 children.  Graduate James Ford Rhodes H.S. (Cleveland, OH) 1969; B.A. Case Western Reserve U. 1973; M. Ed. U. of Maine 1977.  Full-time legislator.  Former Community Relations Officer, WHEDA; former Dean of Students Northland College, former exec. dir., Mary H. Rice Foundation.  One of the original cast members at Lake Superior Big Top Chautauqua and current member of the Rittenhouse Chamber Singers.  Ashland City Council 2007-09.\\nElected to Assembly 2010-12; elected to Senate 2014.  Member of Alcohol and Other Drug Abuse, Council on, Tourism, Council on and Wisconsin Housing and Economic Development Authority|http://docs.legis.wisconsin.gov/2017/legislators/senate/1500|http://legis.wisconsin.gov/senate/25/bewley
http://legis.wisconsin.gov/senate/carpenter/|Tim|Carpenter||3|D|Milwaukee|Room 109 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-8535|(608) 282-3543||Sen.Carpenter||2957 South 38th Street\\nMilwaukee, WI 53215|Russell DeLong, Gordon Ewy;stuart.ewy, Scott May|Committee on Government Operations, Technology and Consumer Protection\\nCommittee on Transportation and Veterans Affairs\\nJoint Committee on Information Policy and Technology\\nJoint Survey Committee on Tax Exemptions|Born Milwaukee.  Graduate Pulaski H.S.; B.A. UW-Milwaukee; M.A. UW-Madison La Follette Institute.  Member: Sierra Club; Jackson Park Neighborhood Assn.; Story Hill Neighborhood Assn.; Milw. VA Soldiers Home Advisory Counci; lCitizens Utility Board; Milwaukee LGBT Community Center; Wisconsin Humane Society.  Recipient: Wisconsin Professional Police Assn. 2014 Law Enforcement Honor Roll; Wisconsin Public Health Association's Champion of Public Health 2008; Coalition of Wisconsin Aging Groups Russ Feingold Award for Service to Seniors 2007; Shepherd Express Best State Legislator 2008; Wisconsin League of Conservation Voters Conservation Champion 2014, 2008; Shepherd Express Legislator of the Year 2003; Wis. Professional Fire Fighters Legislator of the Year 2002; Environmental Decade Clean 16 Awards.\\nElected to Assembly 1984-2000; elected to Senate 2002; reelected since 2006.  President Pro Tempore 2011 (eff. 7/17/12), 2007; Speaker Pro Tempore 1993.  Member of Domestic Abuse, Council on, State Fair Park Board, Transportation Projects Commission and Wisconsin Economic Development Corporation|http://docs.legis.wisconsin.gov/2017/legislators/senate/1501|http://legis.wisconsin.gov/senate/carpenter/
http://legis.wisconsin.gov/senate/cowles/|Robert L.|Cowles||2|R|Green Bay|Room 118 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-0484\\n(800) 334-1465|(608) 267-0304|(920) 448-5092|Sen.Cowles||300 W. St. Joseph Street\\nUnit 23, Green Bay, WI 54301|Toni Herkert, Evan Miller, Heather Moore, Jason Mugnaini|Committee on Natural Resources and Energy (Chair)\\nCommittee on Transportation and Veterans Affairs\\nJoint Committee on Information Policy and Technology\\nJoint Legislative Audit Committee (Co-Chair)|Born Green Bay, July 31, 1950.  B.S. UW-Green Bay 1975; graduate work UW-Green Bay.  Full-time legislator.  Former director of an alternative energy division for a communications construction company.  Member: Allouez Kiwanis; Salvation Army Volunteer.\\nElected to Assembly 1982-86 (resigned 4/21/87); elected to Senate in April 1987 special election; reelected since 1988.   \\nMember of Highway Safety, Council on and Transportation Projects Commission|http://docs.legis.wisconsin.gov/2017/legislators/senate/1502|http://legis.wisconsin.gov/senate/cowles/
mailto:Chad.Taylor@legis.wisconsin.gov|David|Craig||28|R|Big Bend|Room 104 South\\nState Capitol\\nMadison, WI 53708|(608) 266-5400|||Sen.Craig||P.O. Box 323\\nBig Bend, WI 53103|Adam Gibbs, Sam Hope, William Neville, Chad Taylor|Committee on Financial Services, Constitution and Federalism (Chair)\\nCommittee on Government Operations, Technology and Consumer Protection (Vice-Chair)\\nCommittee on Insurance, Housing and Trade\\nCommittee on Public Benefits, Licensing and State-Federal Relations\\nJoint Survey Committee on Retirement Systems|Born Waukesha, March 16, 1979; married; 5 children.  Graduate Wisconsin Lutheran H.S. 1997; attended UW-Waukesha; B.A. UW-Milwaukee 2002.  Realtor.  Former aide to Congressman Paul Ryan.  Village of Big Bend trustee 2008-10.\\nElected to Assembly in May 2011 special election; reelected since 2012.|http://docs.legis.wisconsin.gov/2017/legislators/senate/1646|
http://legis.wisconsin.gov/senate/darling/|Alberta|Darling||8|R|River Hills|Room 317 East\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-5830|(608) 267-0588||Sen.Darling||1325 West Dean Road\\nRiver Hills, WI 53217|Bob Delaporte, Cory Fish, Rachel Keith, RJ Lambert, Deej Lundgren, Jerry Ponio|Committee on Economic Development, Commerce and Local Government\\nCommittee on Education (Vice-Chair)\\nCommittee on Finance (Chair)\\nJoint Committee on Employment Relations\\nJoint Committee on Finance (Co-Chair)\\nJoint Legislative Audit Committee\\nJoint Legislative Council|Born Hammond, IN, April 28; married; 2 children, 3 grandchildren.  Graduate UW-Madison 1966; grad. work UW-Milwaukee 1972-74.  Former teacher and marketing director.  Member: North Shore Rotary; College Savings Program Bd. (EdVest); Junior League of Milwaukee (former pres.); Tempo Professional Women's Organization; Blood Center of Wis. Bd.  Former member: Next Door Foundation; Public Policy Forum; Wis. Strategic Planning Council for Economic Development; Greater Milwaukee Com.; Goals for Greater Milwaukee 2000 Project (exec. com.); United Way Bd. (chp., allocations com.); Future Milwaukee (pres.); Milwaukee Forum; Children's Service Soc. of Wis. (bd. of dir.); American Red Cross of Wis. (exec. com., bd. of dir.); League of Women Voters; Today's Girls/Tomorrow's Women/Boys Girls Club (founder); NCSL Education Com. (chp.); YMCA (bd. mbr.).  Recipient: Shining Star of Education Reform 2011; Hispanic Chamber of Commerce Government Advocates Award; Greater Milwaukee Committee Leadership Award 2011; Leukemia and Lymphoma Society Legislative Leadership Award 2011, Friend of Housing Legislator of the Year 2012, 2006-2011, 2002, Wisconsin Manufacturers and Commerce Working for Wisconsin 2012, 2002; American Conservative Union Foundation Defender of Liberty Award 2012; Friend of Grocers 2014; 2011 Coalition of Wisconsin Aging Groups Tommy G. Thompson Award for Service; Wis. Stem Cell Now Courage Award; Right Wis. Iron Lady Award 2013; Wis. Charter Champion Award 2014; 2006 Inductee into the National MS Hall of Fame; Wisconsin Manufacturers and Commerce 100% Pro-Business Legislator 2006; Wis. Builders Assn. Friend of Housing 2008; Amer. Cancer Soc. Legislative Champion 2014, 2006; Fair Air Coalition Friend of Education; Metropolitan Milwaukee Assn. of Commerce Champion of Commerce; Wis. Head Start Directors Assn. Award of Excellence; National Assn. of Community Leadership Leadership Award; United Way Gwen Jackson Leadership Award; St. Francis Children's Center Children Service Award.\\nElected to Assembly in May 1990 special election; reelected November 1990; elected to Senate 1992; reelected since 1996.|http://docs.legis.wisconsin.gov/2017/legislators/senate/1503|http://legis.wisconsin.gov/senate/darling/
http://legis.wisconsin.gov/senate/erpenbach/|Jon|Erpenbach||27|D|Middleton|Room 7 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-6670|(608) 266-2508|(888) 549-0027|Sen.Erpenbach||2316 Clark Street\\nMiddleton, WI 53562|Kelly Becker, Tryg Knutson, Julie Laundrie, Amanda Tomten|Committee on Finance\\nCommittee on Health and Human Services\\nCommittee on Sporting Heritage, Mining and Forestry\\nCommittee on Workforce Development, Military Affairs and Senior Issues\\nJoint Committee on Finance\\nJoint Survey Committee on Retirement Systems|Born Middleton, January 28, 1961; 2 children.  Graduate Middleton H.S.; attended UW-Oshkosh 1979-81.  Former communications director, legislative aide, radio personality, short order cook, meat packer, truck driver, and City of Middleton recreation instructor.\\nElected to Senate 1998; reelected since 2002.  Minority Leader 2003 session.|http://docs.legis.wisconsin.gov/2017/legislators/senate/1504|http://legis.wisconsin.gov/senate/erpenbach/
http://legis.wisconsin.gov/senate/13/fitzgerald/|Scott L.|Fitzgerald|Majority Leader|13|R|Juneau|Room 211 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-5660|(608) 267-6795||Sen.Fitzgerald||N4692 Maple Road\\nJuneau, WI 53039|Cindy Block, Adam Foltz, Kimber Liedl, Tad Ottman, Dan Romportl, Myranda Tanck|Committee on Senate Organization (Chair)\\nJoint Committee on Employment Relations\\nJoint Committee on Legislative Organization\\nJoint Legislative Council|Born Chicago, IL, November 16, 1963; married; 3 children.  Graduate Hustisford H.S. 1981; B.S. in journalism UW-Oshkosh 1985; U.S. Army Armor Officer Basic Course 1985; U.S. Army Command and General Staff College.  Former associate newspaper publisher; U.S. Army Reserve Lt. Colonel (ret.).  Member: Dodge Co. Republican Party (chm. 1992-94); Juneau Lions Club; Reserve Officers Assn.; Knights of Columbus.\\nElected to Senate 1994; reelected since 1998.  Majority Leader 2015, 2013, 2011 (through 7/24/12); Minority Leader 2011 (eff. 7/24/12), 2009, 2007; Majority Leader 9/17/04 to 11/10/04.|http://docs.legis.wisconsin.gov/2017/legislators/senate/1505|http://legis.wisconsin.gov/senate/13/fitzgerald/
http://legis.wisconsin.gov/senate/hansen/|Dave|Hansen||30|D|Green Bay|Room 106 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-5670|(608) 267-6791|(920) 391-2000|Sen.Hansen||3489 Blackwolf Run\\nGreen Bay, WI 54311|Jessica Lundquist;jessica.lundquist, Jon Mielke, Jay Wadd, John Wagnitz|Committee on Natural Resources and Energy\\nCommittee on Transportation and Veterans Affairs\\nCommittee on Universities and Technical Colleges|Born Green Bay, December 18, 1947; married; 3 children, 11 grandchildren.  Graduate Green Bay West H.S.; B.S. UW-Green Bay 1971.  Full-time legislator.  Former teacher.  Former truck driver for Green Bay Department of Public Works.  Former Teamster's Union steward.  Former member: Brown Co. Human Services Bd. (chp.); N.E.W. Zoo Advisory Bd.; Brown Co. Education and Recreation Com. (chp.); Great Lakes Compact Commission.  Brown Co. Bd. Supervisor 1996-2002.\\n\\nElected to Senate 2000; reelected since 2004.  Assistant Minority Leader 2015, 2013, 2011, 2005, 2003; Majority Leader 2009 (eff. 12/15/10); Assistant Majority Leader 2011 (eff. 7/24/12); 2009, 2007.  Member of Transportation Projects Commission|http://docs.legis.wisconsin.gov/2017/legislators/senate/1507|http://legis.wisconsin.gov/senate/hansen/
http://legis.wisconsin.gov/senate/harsdorf/|Sheila|Harsdorf|Majority Caucus Chair|10|R|River Falls|Room 122 South\\nState Capitol\\nMadison, WI 53707-7882|(608) 266-7745|(608) 282-3550||Sen.Harsdorf||N6627 County Road E.River Falls, WI 54022|Kim Drake, Brooke Froelich, Terri Griffiths, Holly Walker|Committee on Agriculture, Small Business and Tourism\\nCommittee on Finance\\nCommittee on Public Benefits, Licensing and State-Federal Relations (Vice-Chair)\\nCommittee on Universities and Technical Colleges (Chair)\\nJoint Committee on Finance\\nJoint Committee on Information Policy and Technology (Co-Chair)|Born St. Paul, MN, July 25, 1956; 1 son.  Graduate River Falls H.S.; B.S. in animal science, U. of Minnesota 1978; Wis. Rural Leadership Program, grad. of 1st class (1986).  Member: Pierce Co. Republican Party; Pierce Co. Farm Bureau (former dir. and treas.); Luther Memorial Church.  Former member: Wis. State FFA Sponsors Bd. (chp.); Wis. Conservation Corps Bd. (secy.); Kinnickinnic River Land Trust Bd.; Pierce Co. Dairy Promotion Com. (past chm.); Wis. State ASCS Com.; Adv. Council on Small Business, Agriculture, Labor for Federal Reserve Bank of Minneapolis.\\nElected to Assembly 1988-96; elected to Senate 2000; reelected since 2004.  Majority Caucus Chairperson 2015; Majority Caucus Vice Chairperson 2013, 2011; Minority Caucus Vice Chairperson 2009; Majority Caucus Sergeant at Arms 2005.|http://docs.legis.wisconsin.gov/2017/legislators/senate/1509|http://legis.wisconsin.gov/senate/harsdorf/
mailto:Christian.Ullsvik@legis.wisconsin.gov|LaTonya|Johnson||6|D|Milwaukee|Room 22 South\\nState Capitol\\nMadison, WI 53708|(608) 266-2500|||Sen.Johnson||2363 N. 54th St.\\nMilwaukee, WI 53210|Frederic Ludwig, Shannon McCoy, Christian Ullsvik|Committee on Economic Development, Commerce and Local Government\\nCommittee on Education\\nCommittee on Health and Human Services\\nCommittee on Public Benefits, Licensing and State-Federal Relations|Born Somerville, Tenn., June 22, 1972; 1 child.  Graduate Bay View H.S. 1990; B.S. criminal justice Tennessee State U. 1997; attended UW-Milwaukee 1990-92.  Full-time legislator.  Former family child care provider/owner 2002-12; insurance agent 2000-02; financial employment planner 1997-2000.  Member: AFSCME Wisconsin Child Care Providers Together Local 502 (pres.) AFSCME District Council 48 (vice pres.); African American Chamber of Commerce; Emerge Wisconsin Class 2012; CBTU-Coalition of Black Trade Unionists; Milwaukee Legislative Caucus (chp.).\\nElected to Assembly 2012; reelected 2014.  Member of Child Abuse and Neglect Prevention Board, Milwaukee Child Welfare Partnership Council and Wisconsin Center District Board|http://docs.legis.wisconsin.gov/2017/legislators/senate/1643|
